,Station Name,Line,Latitude,Longitude,Cluster,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
0,Airoli railway station,Trans-Harbour Line ,19.1592465,72.998512,0,0,5,0,12,2,8,15,4,3,5
1,Ambarnath railway station,Central Line ,19.0943323,73.3008946,0,0,0,0,0,0,2,1,0,1,1
2,Ambivli railway station,Central Line ,19.267645,73.1718625,0,0,0,0,1,0,0,2,1,3,4
3,Andheri railway station,Western Line ,19.1196976,72.8464205,0,5,8,0,29,7,9,33,4,36,15
4,Asangaon railway station,Central Line ,19.4409122,73.3065183,0,0,0,0,6,0,0,0,0,0,1
5,Atgaon railway station,Central Line ,19.503751,73.327362,0,0,0,0,0,0,1,0,0,0,0
6,Badlapur railway station,Central Line ,19.1561967,73.2660724,0,0,1,0,0,0,0,3,0,1,0
8,Bandra railway station,Western Line ,19.0550693,72.84014352466652,0,4,9,0,15,6,5,7,7,8,4
9,Bhandup railway station,Central Line ,19.1438684,72.9384327,0,2,5,0,4,1,4,3,5,17,4
10,Bhayandar railway station,Western Line ,19.3099054,72.8532539,0,0,0,0,1,0,2,0,0,0,1
11,Bhivpuri Road railway station,Central Line ,18.9705432,73.331417,0,2,1,0,6,0,3,11,5,5,2
12,Bhiwandi railway station,Central Line ,19.3025562,73.0588072,0,2,0,0,4,0,0,7,1,8,3
13,Boisar railway station,Western Line ,19.7984865,72.761452,0,3,9,1,44,5,10,20,6,35,20
14,Borivali railway station,Western Line ,19.229068,72.8573628,0,2,5,0,22,6,2,28,4,7,4
15,Byculla railway station,Central Line ,18.9766219,72.8327936,0,1,10,1,27,4,3,18,6,4,6
16,CBD Belapur railway station,Harbour Line,19.01898695,73.03909472408442,0,11,9,0,47,6,13,20,11,17,3
17,Charni Road railway station,Western Line ,18.9524563,72.8174395,0,3,2,2,56,5,8,23,2,22,5
18,Chembur railway station,Harbour Line,19.0612128,72.8975909,0,12,17,2,62,10,8,31,4,28,17
19,Chhatrapati Shivaji Maharaj Terminus railway station,Central Line ,18.94136785,72.83526733695547,0,4,4,0,15,5,4,29,6,9,3
20,Chinchpokli railway station,Central Line ,18.9871984,72.8326716,0,6,5,0,25,5,6,11,6,11,11
21,Chunabhatti railway station,Harbour Line,19.0465213,72.8632834,0,14,27,4,106,26,19,45,4,43,23
22,Churchgate railway station,Western Line ,18.935357699999997,72.82719940027535,0,4,0,0,4,3,11,13,10,1,2
23,Cotton Green railway station,Harbour Line,18.9871866,72.8438965,0,6,6,0,77,27,11,59,7,52,8
24,Currey Road railway station,Central Line ,18.9949978,72.8328707,0,8,12,0,55,5,5,27,16,36,10
25,Dadar Central railway station,Central Line ,19.0177342,72.8437523,0,0,0,0,4,0,0,2,0,4,3
26,Dahanu Road railway station,Western Line ,19.9915236,72.7434083,0,3,6,0,23,4,7,16,2,9,3
27,Dahisar railway station,Western Line ,19.2494501,72.8596206,0,0,0,0,0,0,0,1,0,0,0
